8 28371
8 40306
8 85279
8 91764
8 97723
8 105468
8 106690
32 3203
32 7978
32 8670
32 12847
32 83734
57 9145
57 9152
57 23849
57 29455
57 65215
57 85166
57 101198
147 19354
147 19622
147 22728
147 27421
147 30118
147 31053
147 33163
147 35908
147 38536
147 38853
147 44414
147 45368
147 47658
147 50538
147 54173
147 55826
147 56555
147 56742
147 60219
147 70781
147 72740
147 73561
147 75061
147 78003
147 85755
147 87453
147 87499
147 88108
147 88649
147 89560
147 90178
147 90442
147 91138
147 93282
147 94771
147 99246
147 105832
233 2716
242 6704
242 45650
259 11568
302 8232
302 28061
319 22091
319 57151
319 59208
319 89224
319 96577
336 29658
372 5584
372 41072
372 65754
372 93030
427 21127
485 27229
485 44046
485 49978
485 84972
485 89549
485 95152
485 97386
521 78592
521 79054
538 16972
620 71735
620 73515
788 1263
788 1423
788 10680
788 17308
788 17711
788 19812
788 21566
788 25795
788 28115
788 30669
788 31272
788 31503
788 31994
788 37851
788 40001
788 41461
788 41911
788 42525
788 44166
788 49031
788 49329
788 51379
788 51985
788 52177
788 52355
788 54005
788 55395
788 59979
788 60349
788 60597
788 61823
788 63285
788 64432
788 64555
788 71664
788 76566
788 78108
788 80417
788 83503
788 92968
788 93594
788 96951
788 100668
788 100884
788 101946
788 102218
788 102248
788 102824
788 106833
819 45897
819 80924
913 17855
934 2300
934 30201
934 35259
934 49058
934 49408
934 53002
934 57359
934 72005
934 75998
934 79828
934 104426
970 26954
970 39694
970 41610
970 54333
970 63930
970 76601
1016 40625
1016 66073
1016 83675
1016 87923
1016 92302
1033 71493
1049 10192
1049 92465
1094 102129
1103 33703
1103 52867
1103 66759
1103 87652
1113 5424
1113 75182
1113 96703
1149 12708
1149 50255
1263 788
1263 9145
1263 12299
1263 19812
1263 21779
1263 23849
1263 32598
1263 40523
1263 41461
1263 42525
1263 44166
1263 44871
1263 45276
1263 47252
1263 49031
1263 49268
1263 51379
1263 52177
1263 53624
1263 58464
1263 59979
1263 60597
1263 61937
1263 62346
1263 75445
1263 80743
1263 81173
1263 82073
1263 84229
1263 86268
1263 92419
1263 94282
1263 100668
1263 100884
1263 101063
1263 101198
1263 101946
1263 102185
1296 22563
1320 65423
1320 75324
1328 9766
1328 12417
1328 98097
1352 102362
1423 788
1423 19812
1423 23849
1423 28115
1423 30669
1423 30712
1423 31272
1423 31994
1423 35010
1423 37851
1423 41461
1423 41911
1423 44166
1423 44712
1423 49031
1423 49329
1423 49394
1423 51985
1423 52177
1423 53624
1423 59979
1423 60597
1423 61823
1423 63285
1423 64555
1423 64649
1423 66713
1423 68174
1423 70831
1423 76566
1423 78108
1423 78257
1423 80743
1423 81173
1423 82073
1423 89990
1423 92968
1423 96951
1423 101946
1423 102248
1423 104274
1423 107636
1455 3646
1455 9307
1455 17430
1476 75490
1476 104398
1505 19634
1505 54473
1505 62398
1505 104768
1557 2570
1557 12804
1557 28153
1557 34807
1557 38984
1557 41379
1557 51543
1557 53806
1557 68017
1557 84365
1557 87302
1557 88649
1557 89391
1557 107005
